store,item,date,sales_forecast,day_in_forecast
1,1,2018-01-01,22.4802,1
1,1,2018-01-02,24.104067,2
1,1,2018-01-03,24.699686,3
1,1,2018-01-04,24.329485,4
1,1,2018-01-05,24.93961,5
1,1,2018-01-06,21.392195,6
1,1,2018-01-07,22.839857,7
1,1,2018-01-08,23.422705,8
1,1,2018-01-09,24.736446,9
1,1,2018-01-10,24.804523,10
1,1,2018-01-11,21.831163,11
1,1,2018-01-12,24.257595,12
1,1,2018-01-13,22.59509,13
1,1,2018-01-14,24.226578,14
1,1,2018-01-15,23.810656,15
1,1,2018-01-16,23.779915,16
1,1,2018-01-17,23.708277,17
1,1,2018-01-18,24.2626,18
1,1,2018-01-19,24.136522,19
1,1,2018-01-20,23.962336,20
1,1,2018-01-21,24.581781,21
1,1,2018-01-22,24.257933,22
1,1,2018-01-23,24.59383,23
1,1,2018-01-24,26.446299,24
1,1,2018-01-25,23.741152,25
1,1,2018-01-26,22.70944,26
1,1,2018-01-27,23.646805,27
1,1,2018-01-28,22.871912,28
1,1,2018-01-29,23.433805,29
1,1,2018-01-30,22.994486,30
1,1,2018-01-31,22.906336,31
1,1,2018-02-01,21.680813,32
1,1,2018-02-02,22.122528,33
1,1,2018-02-03,21.56819,34
1,1,2018-02-04,21.102995,35
1,1,2018-02-05,21.8953,36
1,1,2018-02-06,20.978611,37
1,1,2018-02-07,21.491528,38
1,1,2018-02-08,21.75001,39
1,1,2018-02-09,22.735735,40
1,1,2018-02-10,20.66899,41
1,1,2018-02-11,21.99176,42
1,1,2018-02-12,20.996927,43
1,1,2018-02-13,22.137527,44
1,1,2018-02-14,21.197954,45
1,1,2018-02-15,21.42557,46
1,1,2018-02-16,21.965687,47
1,1,2018-02-17,19.333595,48
1,1,2018-02-18,23.252275,49
1,1,2018-02-19,20.76966,50
1,1,2018-02-20,22.92071,51
1,1,2018-02-21,22.82694,52
1,1,2018-02-22,23.370094,53
1,1,2018-02-23,21.748638,54
1,1,2018-02-24,21.59545,55
1,1,2018-02-25,21.00797,56
1,1,2018-02-26,19.954723,57
1,1,2018-02-27,21.675337,58
1,1,2018-02-28,21.200315,59
1,1,2018-03-01,22.569092,60
1,1,2018-03-02,22.157461,61
1,1,2018-03-03,19.942114,62
1,1,2018-03-04,21.18853,63
1,1,2018-03-05,20.782598,64
1,1,2018-03-06,20.98293,65
1,1,2018-03-07,20.733463,66
1,1,2018-03-08,19.622396,67
1,1,2018-03-09,20.27736,68
1,1,2018-03-10,18.316818,69
1,1,2018-03-11,19.116713,70
1,1,2018-03-12,19.51857,71
1,1,2018-03-13,20.871212,72
1,1,2018-03-14,20.651665,73
1,1,2018-03-15,19.919193,74
1,1,2018-03-16,20.23629,75
1,1,2018-03-17,19.88767,76
1,1,2018-03-18,19.158861,77
1,1,2018-03-19,20.22787,78
1,1,2018-03-20,20.52923,79
1,1,2018-03-21,21.159126,80
1,1,2018-03-22,21.159365,81
1,1,2018-03-23,21.451736,82
1,1,2018-03-24,19.557524,83
1,1,2018-03-25,20.554338,84
1,1,2018-03-26,18.512867,85
1,1,2018-03-27,20.368916,86
1,1,2018-03-28,21.236877,87
1,1,2018-03-29,20.381044,88
1,1,2018-03-30,20.732332,89
1,1,2018-03-31,19.44117,90
2,1,2018-01-01,31.691433,1
2,1,2018-01-02,34.098232,2
2,1,2018-01-03,35.01045,3
2,1,2018-01-04,34.533512,4
2,1,2018-01-05,35.421318,5
2,1,2018-01-06,29.807266,6
2,1,2018-01-07,32.281803,7
2,1,2018-01-08,33.036797,8
2,1,2018-01-09,35.170338,9
2,1,2018-01-10,35.210377,10
2,1,2018-01-11,30.689089,11
2,1,2018-01-12,34.419548,12
2,1,2018-01-13,31.760765,13
2,1,2018-01-14,34.617737,14
2,1,2018-01-15,33.63431,15
2,1,2018-01-16,33.64282,16
2,1,2018-01-17,33.477116,17
2,1,2018-01-18,34.542282,18
2,1,2018-01-19,34.19939,19
2,1,2018-01-20,33.903748,20
2,1,2018-01-21,34.915344,21
2,1,2018-01-22,34.37804,22
2,1,2018-01-23,34.87265,23
2,1,2018-01-24,37.711567,24
2,1,2018-01-25,33.569775,25
2,1,2018-01-26,31.894077,26
2,1,2018-01-27,33.37929,27
2,1,2018-01-28,32.24939,28
2,1,2018-01-29,33.140217,29
2,1,2018-01-30,32.405758,30
2,1,2018-01-31,32.392204,31
2,1,2018-02-01,30.342983,32
2,1,2018-02-02,31.095608,33
2,1,2018-02-03,30.325516,34
2,1,2018-02-04,29.544022,35
2,1,2018-02-05,30.63295,36
2,1,2018-02-06,29.341013,37
2,1,2018-02-07,30.069513,38
2,1,2018-02-08,30.491585,39
2,1,2018-02-09,32.070217,40
2,1,2018-02-10,28.845598,41
2,1,2018-02-11,30.91818,42
2,1,2018-02-12,29.42069,43
2,1,2018-02-13,31.134022,44
2,1,2018-02-14,29.729492,45
2,1,2018-02-15,29.971725,46
2,1,2018-02-16,30.905993,47
2,1,2018-02-17,26.79122,48
2,1,2018-02-18,32.840836,49
2,1,2018-02-19,29.021824,50
2,1,2018-02-20,32.283295,51
2,1,2018-02-21,32.12604,52
2,1,2018-02-22,33.049522,53
2,1,2018-02-23,30.570889,54
2,1,2018-02-24,30.2028,55
2,1,2018-02-25,29.397924,56
2,1,2018-02-26,27.77866,57
2,1,2018-02-27,30.441284,58
2,1,2018-02-28,29.66639,59
2,1,2018-03-01,31.726128,60
2,1,2018-03-02,31.030365,61
2,1,2018-03-03,27.70245,62
2,1,2018-03-04,29.602596,63
2,1,2018-03-05,29.036373,64
2,1,2018-03-06,29.43425,65
2,1,2018-03-07,29.004114,66
2,1,2018-03-08,27.288582,67
2,1,2018-03-09,28.276783,68
2,1,2018-03-10,25.320574,69
2,1,2018-03-11,26.538017,70
2,1,2018-03-12,27.078953,71
2,1,2018-03-13,29.289537,72
2,1,2018-03-14,28.847889,73
2,1,2018-03-15,27.799074,74
2,1,2018-03-16,28.235985,75
2,1,2018-03-17,27.752153,76
2,1,2018-03-18,26.541235,77
2,1,2018-03-19,28.113493,78
2,1,2018-03-20,28.661089,79
2,1,2018-03-21,29.697119,80
2,1,2018-03-22,29.650753,81
2,1,2018-03-23,30.041866,82
2,1,2018-03-24,27.16125,83
2,1,2018-03-25,28.695238,84
2,1,2018-03-26,25.609718,85
2,1,2018-03-27,28.357473,86
2,1,2018-03-28,29.856981,87
2,1,2018-03-29,28.574255,88
2,1,2018-03-30,28.988253,89
2,1,2018-03-31,27.13452,90
3,1,2018-01-01,29.569338,1
3,1,2018-01-02,31.791656,2
3,1,2018-01-03,32.625717,3
3,1,2018-01-04,32.171154,4
3,1,2018-01-05,33.01293,5
3,1,2018-01-06,27.87064,6
3,1,2018-01-07,30.137129,7
3,1,2018-01-08,30.81729,8
3,1,2018-01-09,32.74935,9
3,1,2018-01-10,32.8272,10
3,1,2018-01-11,28.67682,11
3,1,2018-01-12,32.09209,12
3,1,2018-01-13,29.665958,13
3,1,2018-01-14,32.237072,14
3,1,2018-01-15,31.37003,15
3,1,2018-01-16,31.363167,16
3,1,2018-01-17,31.230278,17
3,1,2018-01-18,32.160503,18
3,1,2018-01-19,31.88824,19
3,1,2018-01-20,31.624779,20
3,1,2018-01-21,32.547764,21
3,1,2018-01-22,32.025127,22
3,1,2018-01-23,32.49416,23
3,1,2018-01-24,35.115456,24
3,1,2018-01-25,31.312721,25
3,1,2018-01-26,29.780586,26
3,1,2018-01-27,31.129303,27
3,1,2018-01-28,30.094976,28
3,1,2018-01-29,30.927801,29
3,1,2018-01-30,30.225931,30
3,1,2018-01-31,30.2115,31
3,1,2018-02-01,28.340378,32
3,1,2018-02-02,29.051802,33
3,1,2018-02-03,28.317856,34
3,1,2018-02-04,27.59749,35
3,1,2018-02-05,28.607908,36
3,1,2018-02-06,27.43624,37
3,1,2018-02-07,28.124504,38
3,1,2018-02-08,28.481413,39
3,1,2018-02-09,29.917366,40
3,1,2018-02-10,26.974966,41
3,1,2018-02-11,28.850672,42
3,1,2018-02-12,27.514565,43
3,1,2018-02-13,29.058237,44
3,1,2018-02-14,27.778831,45
3,1,2018-02-15,28.00447,46
3,1,2018-02-16,28.860935,47
3,1,2018-02-17,25.078321,48
3,1,2018-02-18,30.657085,49
3,1,2018-02-19,27.14263,50
3,1,2018-02-20,30.146448,51
3,1,2018-02-21,29.995726,52
3,1,2018-02-22,30.83065,53
3,1,2018-02-23,28.56247,54
3,1,2018-02-24,28.209558,55
3,1,2018-02-25,27.481537,56
3,1,2018-02-26,25.987902,57
3,1,2018-02-27,28.426027,58
3,1,2018-02-28,27.713682,59
3,1,2018-03-01,29.625721,60
3,1,2018-03-02,28.990934,61
3,1,2018-03-03,25.932295,62
3,1,2018-03-04,27.67634,63
3,1,2018-03-05,27.151281,64
3,1,2018-03-06,27.497126,65
3,1,2018-03-07,27.083593,66
3,1,2018-03-08,25.532633,67
3,1,2018-03-09,26.44567,68
3,1,2018-03-10,23.712118,69
3,1,2018-03-11,24.848267,70
3,1,2018-03-12,25.350739,71
3,1,2018-03-13,27.358494,72
3,1,2018-03-14,26.961863,73
3,1,2018-03-15,25.998747,74
3,1,2018-03-16,26.3978,75
3,1,2018-03-17,25.95201,76
3,1,2018-03-18,24.848698,77
3,1,2018-03-19,26.313366,78
3,1,2018-03-20,26.796223,79
3,1,2018-03-21,27.744553,80
3,1,2018-03-22,27.729527,81
3,1,2018-03-23,28.04456,82
3,1,2018-03-24,25.412619,83
3,1,2018-03-25,26.843647,84
3,1,2018-03-26,23.984861,85
3,1,2018-03-27,26.55958,86
3,1,2018-03-28,27.882185,87
3,1,2018-03-29,26.704985,88
3,1,2018-03-30,27.079657,89
3,1,2018-03-31,25.381521,90
4,1,2018-01-01,26.21357,1
4,1,2018-01-02,28.185667,2
4,1,2018-01-03,28.89525,3
4,1,2018-01-04,28.485258,4
4,1,2018-01-05,29.203068,5
4,1,2018-01-06,24.839388,6
4,1,2018-01-07,26.688251,7
4,1,2018-01-08,27.359278,8
4,1,2018-01-09,28.964846,9
4,1,2018-01-10,29.053408,10
4,1,2018-01-11,25.476688,11
4,1,2018-01-12,28.396786,12
4,1,2018-01-13,26.334967,13
4,1,2018-01-14,28.471798,14
4,1,2018-01-15,27.809616,15
4,1,2018-01-16,27.80114,16
4,1,2018-01-17,27.705467,17
